name,organization,short_description,long_description,category,application_status,deadline,city,latitude,longitude,application_url,logo_url,tags
"Joseph Brant Hospital Friendly Visitor","Joseph Brant Hospital","Provide companionship and emotional support to patients in Burlington.","Friendly visitors spend time with patients playing games, reading, or engaging in conversation to enhance their hospital stay. This role is critical for patient well-being and social interaction. Requires a consistent weekly commitment of 3-4 hours.","volunteering","rolling","","Burlington",43.3255,-79.7990,"https://www.josephbranthospital.ca/","","patient-care,hospital,halton-region,burlington,volunteering"
"Joseph Brant Hospital Dining Volunteer","Joseph Brant Hospital","Assist staff with the Eating Matters program to support patient nutrition.","Volunteers help set up meal trays and provide encouragement to patients during dining hours. This role ensures patients have a positive mealtime experience and supports nutritional goals. Volunteers do not feed patients but provide social and logistical support.","volunteering","rolling","","Burlington",43.3255,-79.7990,"https://www.josephbranthospital.ca/","","health,hospital,halton-region,burlington,volunteering"
"BGC Durham Homework Club Assistant","BGC Durham","Provide academic support and homework help to peers at Oshawa youth units.","Student assistants mentor younger peers in math, science, and literacy. Held at the Eastview and Northview units, these sessions provide a structured environment for academic success. Ideal for students looking for year-round tutoring experience.","tutoring-mentoring","rolling","","Oshawa",43.8971,-78.8658,"https://www.bgcdurham.com/","","tutoring,durham-region,oshawa,mentoring,high-school"
"BGC Durham Aquatics Instructor Assistant","BGC Durham","Support swimming instructors during lessons and build leadership skills in Oshawa.","Volunteers assist with class management and demonstrate skills to young swimmers. This role is a pipeline for future employment as a certified lifeguard or instructor. Participants must have an interest in youth development and water safety.","volunteering","rolling","","Oshawa",43.8971,-78.8658,"https://www.bgcdurham.com/","","aquatics,durham-region,oshawa,volunteering,high-school"
"Girls Inc Durham STEM Workshop Volunteer","Girls Inc. of Durham","Assist with the delivery of STEM workshops for girls in Pickering and Whitby.","Volunteers support facilitators in delivering hands-on experiments and tech projects. The program aims to encourage girls' participation in non-traditional career paths. Roles include project setup, student guidance, and logistical support.","volunteering","seasonal","","Pickering",43.8354,-79.0892,"https://www.girlsinc-durham.org/","","stem,girls,durham-region,pickering,volunteering"
"Food4Kids Halton Drive Organizer","Food4Kids Halton","Lead a local food drive to collect items for weekend food bags in Burlington.","Student leaders coordinate the collection of specific high-need items from their schools or neighborhoods. Role involves marketing, logistics, and coordinating with Food4Kids staff. Provides significant project management and community service experience.","leadership","rolling","","Burlington",43.3255,-79.7990,"https://food4kidshalton.ca/","","food-security,halton-region,burlington,leadership,community"
"Halton Healthcare Patient Transport Volunteer","Halton Healthcare","Assist with the safe movement of patients and equipment within Oakville hospital.","Volunteers work alongside staff to transport discharged patients and deliver medical supplies. This active role requires good communication skills and the ability to navigate a large clinical facility. Provides unique exposure to hospital logistics.","volunteering","rolling","","Oakville",43.4357,-79.7428,"https://www.haltonhealthcare.on.ca/","","hospital,volunteering,halton-region,oakville,healthcare"
"Halton Healthcare Information Desk Volunteer","Halton Healthcare","Welcome visitors and provide wayfinding assistance at Milton District Hospital.","Volunteers act as the first point of contact for patients and families, providing directions and answering general inquiries. Role emphasizes customer service and professional communication. Requires a reliable commitment to weekly shifts.","volunteering","rolling","","Milton",43.5147,-79.8829,"https://www.haltonhealthcare.on.ca/","","admin,hospital,halton-region,milton,volunteering"
"Vaughan PL English Conversation Volunteer","Vaughan Public Libraries","Facilitate conversation circles for newcomers to practice English in Vaughan.","Student volunteers assist newcomers in improving their speaking skills through casual conversation and literacy games. Role supports social integration and builds cultural awareness. Held throughout the school year at various library branches.","volunteering","rolling","","Vaughan",43.8372,-79.5008,"https://www.vaughanpl.info/","","newcomer-support,york-region,vaughan,volunteering,literacy"
"Vaughan PL Chess Club Volunteer","Vaughan Public Libraries","Instruct children in playing chess and improving their game at library branches.","Teen volunteers share their knowledge of chess with younger children in a supervised club setting. Role involves teaching basic moves, strategy, and facilitating matches. Ideal for knowledgeable chess players looking for community service hours.","volunteering","rolling","","Vaughan",43.8372,-79.5008,"https://www.vaughanpl.info/","","chess,education,york-region,vaughan,volunteering"
"CMHA York Region Awareness Volunteer","CMHA York Region","Support mental health advocacy and awareness campaigns across York Region.","Volunteers participate in community events and awareness-raising initiatives such as Mental Health in Motion. This role involves public engagement, setting up event spaces, and distributing resources. Ideal for students interested in psychology or public health.","leadership","rolling","","Aurora",44.0065,-79.4504,"https://cmha-yr.on.ca/","","mental-health,advocacy,york-region,leadership,health"
"Pathways to Education Group Mentor","Regent Park Community Health Centre","Facilitate after-school social and academic activities for students in Regent Park.","Mentors lead small groups of Grade 9 and 10 students in social development programs. Roles include planning interactive workshops, promoting teamwork, and acting as a positive role model. Commitment is twice a month throughout the school year.","tutoring-mentoring","rolling","","Toronto",43.6601,-79.3601,"https://regentparkchc.org/","","mentoring,youth,toronto,social-skills,tutoring"
"Newmarket Library YA Pride Club Leader","Newmarket Public Library","Lead discussion groups and events for LGBTQ2S+ youth in Newmarket.","Teen leaders co-facilitate a safe space for youth to discuss identity and current events. Responsibilities include planning club meetings, leading icebreakers, and coordinating special library events. Applicants should identify as LGBTQ2S+ or be strong, informed allies.","leadership","rolling","","Newmarket",44.0592,-79.4613,"https://www.newmarketpl.ca/","","lgbtq,leadership,york-region,newmarket,youth"
"Newmarket Library Reading Buddy Mentor","Newmarket Public Library","Provide one-on-one literacy support to children who require extra reading practice.","Mentors are paired with elementary students to build reading confidence through games and storytelling. This role requires patience, strong communication, and a commitment of 2 hours per week for 10 weeks. A rewarding experience for students interested in education.","tutoring-mentoring","seasonal","","Newmarket",44.0592,-79.4613,"https://www.newmarketpl.ca/","","literacy,mentoring,york-region,newmarket,library"
"Achēv Youth 2 Action (Y2A) Partner","Achēv","Design and implement community mapping projects to address social issues in Peel.","Y2A empowering youth to become active citizens through training in project management and civic engagement. Participants work in teams to identify community needs and launch meaningful solutions. Offers a combination of virtual workshops and in-person action in Brampton.","leadership","rolling","","Brampton",43.7315,-79.7624,"https://achev.ca/","","civic,leadership,peel-region,brampton,youth-led"
"Achēv EmpowOUR Participant","Achēv","Engage in a leadership program focused on social equity and community inclusion.","This program focuses on developing leadership skills through the lens of equity. Participants collaborate on workshops and advocacy campaigns to support diverse populations in Mississauga. It provides a supportive environment for youth to build professional networks and social impact.","leadership","rolling","","Mississauga",43.5890,-79.6441,"https://achev.ca/","","leadership,equity,peel-region,mississauga,newcomer-support"
"Ifarada Youth Advisory Board Member","Ifarada Institute","Advocate for youth-focused mental health interventions and social events.","Board members meet bi-monthly to review Ifarada’s programs and participate in community events like the Tallawah youth conference. This role focuses on ensuring youth perspectives guide the organization’s support services. Members are compensated for their time and leadership.","leadership","rolling","","Ajax",43.8509,-79.0204,"https://ifaradainstitute.org/","","mental-health,leadership,durham-region,ajax,advocacy"
"Halton Police Youth Advisory Council Member","Halton Regional Police Service","Provide insight to the HRPS on policies and programs impacting Halton youth.","YAC members act as an advisory board, identifying opportunities for police to engage with young people. The council meets monthly from September to June to discuss community safety and youth relations. Participation helps ensure youth needs are represented in regional policing.","leadership","closed","","Oakville",43.4357,-79.7428,"https://www.haltonpolice.ca/","","civic,leadership,halton-region,oakville,police"
"Durham Police CSAC Youth Representative","Durham Regional Police Service","Advise police leadership on community perceptions and safety concerns in Durham.","The Community Safety Advisory Council (CSAC) includes youth representatives who provide feedback on police program delivery. Members act as ambassadors to improve relationships between the DRPS and the diverse communities of Durham Region. Recruitment occurs seasonally for ward-specific roles.","leadership","rolling","","Whitby",43.8975,-78.9429,"https://www.drps.ca/","","civic,leadership,durham-region,whitby,police"
"Triple Triple Ent Business Plan Writer","Triple Triple Entertainment","Support startup projects through the creation of business plans and forecasts.","This internship provides training on modern business tools and real-world startup cases. Interns assist with drafting professional plans used for startup funding and project scaling. Ideal for students interested in entrepreneurship, finance, and professional writing.","internship","rolling","","Richmond Hill",43.8837,-79.4447,"https://ca.indeed.com/","","business,internship,york-region,richmond-hill,writing"
"TCEP Food Educator Volunteer","The Cultural Empowerment Project","Assist with the delivery of food literacy programs and cooking workshops.","Food educators supervise cooking activities and lead group discussions on nutrition and food security. Role involves program delivery from setup to clean-up at community hubs in Whitby. Offers hands-on experience in community health and cultural empowerment.","volunteering","rolling","","Whitby",43.8975,-78.9429,"https://durham.cioc.ca/","","health,volunteering,durham-region,whitby,food-security"
"Keep Durham Beautiful Exhibit Guide","Keep Durham Beautiful","Educate visitors on environmental resilience at student art exhibits in Durham.","Guides greet the public and explain the themes of exhibits such as ""Ready, Set, Resilience."" Responsibilities include maintaining exhibit spaces and gathering feedback from attendees. intersection of arts education and environmental advocacy.","volunteering","seasonal","","Whitby",43.8975,-78.9429,"https://www.keepdurhambeautiful.org/","","arts,environment,durham-region,whitby,volunteering"
"Halton Hills Heritage Committee Vol","Town of Halton Hills","Support the preservation and promotion of local heritage sites in Halton Hills.","Volunteers assist the Heritage Halton Hills Committee with research projects and community outreach events. Role focuses on documenting historical landmarks and educating the public on regional history. Ideal for students interested in history and municipal planning.","volunteering","rolling","","Georgetown",43.6477,-79.9253,"https://www.haltonhills.ca/","","history,volunteering,halton-region,georgetown,municipal"
"Ontario Tech Digital Design Participant","Ontario Tech University","Join virtual workshops to master digital fabrication and 3D modeling using Onshape.","This series of workshops takes students from basics to advanced assemblies of digital prototypes. Participants design functional objects like phone stands and multi-part devices. The program provides a technical foundation in computer-aided design for future engineering studies.","research","seasonal","","Oshawa",43.9448,-78.8917,"https://engineering.ontariotechu.ca/","","stem,research,durham-region,oshawa,tech"
"Ontario Tech Inside Engineering Scholar","Ontario Tech University","Explore university-level engineering concepts through hands-on project challenges.","Participants engage in capstone project challenges designed to mirror university learning styles. The program provides real-world insights from industry professionals and fosters skills in critical thinking and innovation. Includes a final showcase session to present designs.","research","seasonal","2026-03-09","Oshawa",43.9448,-78.8917,"https://engineering.ontariotechu.ca/","","stem,research,durham-region,oshawa,engineering"
"Mackenzie Health Geriatric Admin Vol","Mackenzie Health","Provide administrative support to the geriatric care and rehab units in Vaughan.","Volunteers assist with patient registry, filing, and office logistics in a specialized geriatric setting. This role provides exposure to the unique healthcare needs of seniors and the administration of clinical support. Requires reliable weekly commitment and health screening.","volunteering","rolling","","Vaughan",43.8582,-79.5165,"https://mackenzie.vsyslive.com/","","seniors,hospital,york-region,vaughan,volunteering"
"Halton Healthcare Retail Assistant","Halton Healthcare","Support hospital fundraising by serving customers in hospital gift shops.","Volunteers assist with sales and customer service in retail spaces that raise funds for medical equipment. Roles include restocking items, assisting visitors with purchases, and handling simple transactions. A community-focused way to support hospital development.","volunteering","rolling","","Oakville",43.4357,-79.7428,"https://www.haltonhealthcare.on.ca/","","retail,hospital,halton-region,oakville,volunteering"
"Joseph Brant Hospital IT Support Vol","Joseph Brant Hospital","Assist the hospital IT department with basic hardware and software logistics.","Student volunteers support the technology team with inventory management and basic equipment preparation. This non-clinical role provides insight into the digital infrastructure required for modern patient care. Ideal for students with an interest in computer science and healthcare.","internship","seasonal","","Burlington",43.3255,-79.7990,"https://www.josephbranthospital.ca/","","tech,internship,halton-region,burlington,healthcare"
"U+ Community Senior Speaking Mentor","U+ Community","Lead public speaking workshops and debates for peers in the Peel Region.","Senior mentors facilitate weekly club meetings, providing feedback on speech techniques and debate strategy. The role focuses on building communication skills and confidence in a virtual peer environment. Volunteers are responsible for planning club themes and judging matches.","leadership","rolling","2028-01-01","Mississauga",43.5890,-79.6441,"https://www.peeleducation.org/","","speaking,leadership,peel-region,mississauga,youth"
"Visions of Science STEM Mentor","Visions of Science","Facilitate interactive science and tech workshops for youth in Toronto hubs.","Mentors work at local community spaces to deliver curriculum-based STEM workshops to younger students. Role involves leading hands-on experiments and fostering a passion for scientific inquiry. A great opportunity to support educational equity in priority neighbourhoods.","tutoring-mentoring","rolling","","Toronto",43.6532,-79.3832,"https://www.vosnl.org/","","stem,tutoring,toronto,mentoring,equity"
"Society of St. Vincent de Paul Tutor","Society of St. Vincent de Paul","Provide after-school homework help to youth in underserved Toronto areas.","Tutors assist students with math, science, and literacy on weekday evenings. The program aims to support academic success and provide a safe learning environment for children. Volunteers must be at least 17 years old and commit to one shift per week.","tutoring-mentoring","rolling","","Toronto",43.6532,-79.3832,"https://svdptoronto.org/","","tutoring,toronto,mentoring,education,high-school"
"Citizen Relations PR Intern","Citizen Relations","Join a leading PR agency to support media relations and influencer marketing projects.","Interns assist with writing pitches, identifying influencers, and brainstorming creative campaign ideas. The role provides an immersive look into the communications industry in downtown Toronto. This is a full-time, paid opportunity for students interested in marketing.","internship","open","","Toronto",43.6380,-79.4215,"https://citizenrelations.com/","","marketing,internship,toronto,communications,paid"
"Halton Food For Thought Social Leader","Halton Food For Thought","Coordinate student nutrition awareness campaigns within your high school.","Social leaders advocate for food security by running digital campaigns and coordinating local snack programs. Role involves creative marketing and peer leadership to ensure students have access to healthy meals. Training and resources provided to help scale school-based projects.","leadership","rolling","","Burlington",43.3255,-79.7990,"https://www.haltonfoodforthought.com/","","food-security,leadership,halton-region,burlington,health"
"Food4Kids Halton School Drive Lead","Food4Kids Halton","Lead a team of students to organize a high-impact food drive for local peers.","Leads are responsible for the marketing, collection, and delivery logistics of school-based food drives. This role provides significant project management experience and helps fight food insecurity in Burlington and Oakville. Direct coordination with Food4Kids staff required.","leadership","rolling","","Oakville",43.4357,-79.7428,"https://food4kidshalton.ca/","","food-security,leadership,halton-region,oakville,community"
"CMHA York Region Philanthropy Vol","CMHA York Region","Support fundraising and donor relations efforts for mental health programs.","Volunteers assist with donor database management, event logistics, and community outreach. This administrative role provides insight into the operation of a major mental health non-profit. Requires a high level of professionalism and strong data management skills.","volunteering","rolling","","Newmarket",44.0592,-79.4613,"https://cmha-yr.on.ca/","","admin,volunteering,york-region,newmarket,mental-health"
"Keep Durham Beautiful Plant Steward","Keep Durham Beautiful","Join invasive species removal and native planting events across Durham.","Stewards work in teams to restore local biodiversity at parks such as Wrightwood and CR Wood. Responsibilities include removing invasive plants and planting native trees to enhance urban forest health. This seasonal role provides significant hands-on environmental experience.","volunteering","seasonal","","Whitby",43.8975,-78.9429,"https://www.keepdurhambeautiful.org/","","environment,volunteering,durham-region,whitby,conservation"
"Mackenzie Health Community Liaison","Mackenzie Health","Promote hospital volunteer opportunities and events at York Region fairs.","Liaisons act as ambassadors for Mackenzie Health, representing the hospital at high schools and volunteer recruitment events. Role focuses on public speaking, networking, and spreading awareness of clinical support roles. Ideal for students with strong communication skills.","leadership","rolling","","Richmond Hill",43.8837,-79.4447,"https://mackenzie.vsyslive.com/","","community,leadership,york-region,richmond-hill,healthcare"
"Joseph Brant Hospital Family Liaison","Joseph Brant Hospital","Act as a communication link between patients' families and surgical waiting areas.","Liaisons provide updates and comfort to family members while their loved ones are in surgery. This role requires empathy, professionalism, and the ability to maintain confidentiality in a clinical setting. A high-impact role for patient and family experience.","volunteering","rolling","","Burlington",43.3255,-79.7990,"https://www.josephbranthospital.ca/","","patient-care,hospital,halton-region,burlington,volunteering"
"U+ Community Camp Planner","U+ Community","Collaborate with recreation staff to design summer camp curricula in Mississauga.","Volunteers assist in creating schedules, activities, and educational modules for youth summer camps. This role focuses on program design and leadership within a community hub. Ideal for students interested in early childhood education or recreation management.","leadership","seasonal","2028-01-01","Mississauga",43.5890,-79.6441,"https://www.peeleducation.org/","","recreation,leadership,peel-region,mississauga,summer-camp"
"Pathways to Education Career Mentor","Regent Park Community Health Centre","Support senior high school students in exploring post-secondary and career paths.","Mentors provide guidance on university applications, scholarship opportunities, and career exploration. The program aims to bridge the gap for students in Regent Park seeking higher education. Requires strong interpersonal skills and academic knowledge.","tutoring-mentoring","rolling","","Toronto",43.6601,-79.3601,"https://regentparkchc.org/","","career,mentoring,toronto,equity,tutoring"
"Visions of Science Youth Advocate","Visions of Science","Advocate for STEM education accessibility and represent youth voices in Toronto.","Advocates collaborate on campaigns to highlight the importance of inclusive STEM learning in underserved communities. Responsibilities include social media outreach, public speaking, and project design. Part of a leadership development pathway within the organization.","leadership","rolling","","Toronto",43.6532,-79.3832,"https://www.vosnl.org/","","stem,leadership,toronto,advocacy,equity"
"Halton Hills Acton Youth Hub Vol","Town of Halton Hills","Support the operation of the drop-in youth centre in Acton.","Volunteers assist with daily activities including gym sports, games nights, and arts/crafts. The role involves creating a safe and welcoming environment for youth aged 12-24. Ideal for students looking for year-round community engagement in North Halton.","volunteering","rolling","","Acton",43.6300,-80.0384,"https://www.haltonhills.ca/","","recreation,volunteering,halton-region,acton,youth"
"Newmarket Library Chess Club Mentor","Newmarket Public Library","Lead weekly chess sessions and teach strategies to younger children.","Mentors facilitate matches, demonstrate opening moves, and ensure a positive competitive environment. This role requires a strong understanding of chess and experience working with children. A great way to share a hobby while earning leadership hours.","tutoring-mentoring","rolling","","Newmarket",44.0592,-79.4613,"https://www.newmarketpl.ca/","","chess,mentoring,york-region,newmarket,education"
"Keep Durham Beautiful Litter Scout","Keep Durham Beautiful","Lead independent neighborhood cleanups and track litter data in Ajax.","Scouts are trained to organize and report on local litter removal efforts. This independent role allows students to impact their community on a flexible schedule while contributing to regional waste data. Participants earn hours based on logged cleanup events.","leadership","rolling","","Ajax",43.8509,-79.0204,"https://www.keepdurhambeautiful.org/","","environment,leadership,durham-region,ajax,community"
"Achēv Event Planning Assistant","Achēv","Support the coordination of community workshops and networking events.","Assistants help with event registration, venue setup, and digital promotion for Achēv's youth and newcomer programs. Role provides exposure to event management and non-profit logistics. Ideally suited for students with strong organizational skills.","volunteering","rolling","","Mississauga",43.5890,-79.6441,"https://achev.ca/","","events,volunteering,peel-region,mississauga,high-school"
"Ifarada Film Ambassador","Ifarada Institute","Interview elders and document their experiences for the Mzee Film Project.","Ambassadors co-produce short films highlighting the lived experiences of community elders. Responsibilities include conducting interviews, basic video editing, and promoting project screenings. This creative role bridges generational gaps and supports cultural heritage.","leadership","rolling","","Ajax",43.8509,-79.0204,"https://ifaradainstitute.org/","","arts,leadership,durham-region,ajax,culture"
"Halton Hills Trail Monitor","Town of Halton Hills","Perform regular inspections and report deficiencies on the Georgetown trail network.","Trail monitors are assigned specific segments to check for litter, damage, and invasive plant growth. This independent outdoor role supports the successful operation of municipal green spaces. Reports are submitted directly to the recreation department.","volunteering","rolling","","Georgetown",43.6477,-79.9253,"https://www.haltonhills.ca/","","environment,volunteering,halton-region,georgetown,outdoor"
"Mackenzie Health Admitting Volunteer","Mackenzie Health","Assist patients with registration and wayfinding in the main admitting area.","Volunteers act as the first point of contact, ensuring patients have a smooth check-in process at Vaughan hospital. Role involves patient navigation and administrative support. Requires professional demeanor and ability to stand for extended periods.","volunteering","rolling","","Vaughan",43.8582,-79.5165,"https://mackenzie.vsyslive.com/","","admin,hospital,york-region,vaughan,volunteering"
"Joseph Brant Hospital Day Surgery Vol","Joseph Brant Hospital","Support the patient experience in the Day Surgery and Endoscopy unit.","Volunteers assist with non-medical patient needs, ensuring comfort during the pre- and post-operative phases. Role focuses on enhancing patient flow and providing socialization. Requires mandatory health screening and a consistent weekly commitment.","volunteering","rolling","","Burlington",43.3255,-79.7990,"https://www.josephbranthospital.ca/","","patient-care,hospital,halton-region,burlington,volunteering"
"U+ Community Brand Ambassador","U+ Community","Promote youth services and programs through social media and local events.","Ambassadors represent U+ Community at school fairs and networking events, highlighting available workshops and volunteer roles. Role involves content creation for social channels and peer outreach. Helps build social capital and program awareness in Peel.","leadership","rolling","2028-01-01","Mississauga",43.5890,-79.6441,"https://www.peeleducation.org/","","marketing,leadership,peel-region,mississauga,youth"
"Visions of Science Jr STEM Leader","Visions of Science","Support the delivery of science projects for younger peers in underserved hubs.","Jr. Leaders assist senior staff in guiding students through foundational STEM concepts. Role focuses on peer mentorship and building confidence in scientific inquiry. A great entry-level leadership role for students interested in education.","leadership","rolling","","Toronto",43.6532,-79.3832,"https://www.vosnl.org/","","stem,leadership,toronto,mentoring,equity"
"Halton Hills Helson Gallery Guide","Town of Halton Hills","Provide exhibition tours and lead art activities at the Helson Gallery.","Gallery guides promote appreciation of current exhibitions and facilitate hands-on art workshops for visitors. Requires an interest in the arts and strong public speaking skills. Training provided on the gallery's permanent collection.","volunteering","rolling","","Georgetown",43.6477,-79.9253,"https://www.haltonhills.ca/","","arts,volunteering,halton-region,georgetown,museum"
"Keep Durham Beautiful Spring Exhibit Vol","Keep Durham Beautiful","Support the installation and staffing of annual spring art exhibits.","Volunteers assist with the setup of environmental-themed exhibits and manage guest services during opening events. Role provides insight into arts administration and non-profit outreach. Held annually in the spring at Durham community spaces.","volunteering","seasonal","","Whitby",43.8975,-78.9429,"https://www.keepdurhambeautiful.org/","","arts,volunteering,durham-region,whitby,environment"
"Mackenzie Health Patient Partner","Mackenzie Health","Collaborate with hospital leadership to improve the patient experience.","Patient partners share their insights and feedback to help shape hospital policies and service delivery. This high-level leadership role ensures that patient voices are integrated into organizational decision-making. Ideal for students with lived experience in the healthcare system.","leadership","rolling","","Richmond Hill",43.8837,-79.4447,"https://www.mackenziehealth.ca/","","civic,leadership,york-region,richmond-hill,healthcare"
"Joseph Brant Hospital Outpatient Vol","Joseph Brant Hospital","Assist staff and patients in specialized outpatient clinics in Burlington.","Volunteers support clinic operations including the fracture, oncology, and breastfeeding clinics. Role involves greeting patients, providing simple instructions, and managing clinic flow. A rewarding role for students interested in clinical administration.","volunteering","rolling","","Burlington",43.3255,-79.7990,"https://www.josephbranthospital.ca/","","health,hospital,halton-region,burlington,volunteering"
"Achēv Tech Skills Participant","Achēv","Join a hybrid program to develop digital literacy and tech-based leadership skills.","Participants receive training in web design, content creation, and project management. The program aims to equip youth with the tools needed to lead in the digital economy. Includes collaborative projects with community partners in Mississauga.","leadership","rolling","","Mississauga",43.5890,-79.6441,"https://achev.ca/","","tech,leadership,peel-region,mississauga,high-school"
"Pathways to Education Academic Leader","Regent Park Community Health Centre","Lead study groups and provide specialized tutoring in core high school subjects.","Academic leaders focus on higher-level math and sciences, assisting peers with complex concepts and exam prep. Role involves creating study resources and fostering a positive learning culture. Ideally suited for senior students with strong academic backgrounds.","leadership","rolling","","Toronto",43.6601,-79.3601,"https://regentparkchc.org/","","tutoring,leadership,toronto,equity,education"
"Newmarket Library Teen Advisor","Newmarket Public Library","Help shape the library's teen collection and service offerings.","Teen advisors provide feedback on current library trends and suggest new programs for the youth community. Participation earns community involvement hours and offers a platform for youth voice in municipal services. Meets monthly from October to June.","leadership","rolling","","Newmarket",44.0592,-79.4613,"https://www.newmarketpl.ca/","","library,leadership,york-region,newmarket,youth-voice"
"Keep Durham Beautiful Cleanup Lead","Keep Durham Beautiful","Organize and lead seasonal cleanup events in your local Oshawa neighborhood.","Cleanup leads are responsible for recruiting volunteers, managing supplies, and tracking litter metrics. This role provides leadership experience within the environmental sector and helps beautify local communities. Support and safety training provided.","leadership","rolling","","Oshawa",43.8971,-78.8658,"https://www.keepdurhambeautiful.org/","","environment,leadership,durham-region,oshawa,community"
"Mackenzie Health Communications Intern","Mackenzie Health","Gain experience in hospital communications and public relations in Vaughan.","Interns assist with social media content, internal newsletters, and event promotion. This role provides insight into the communications strategy of a large regional healthcare network. Coordinated through school co-op offices for academic credit.","internship","seasonal","","Vaughan",43.8582,-79.5165,"https://www.mackenziehealth.ca/","","communications,internship,york-region,vaughan,healthcare"
"Joseph Brant Hospital Admitting Vol","Joseph Brant Hospital","Assist with patient check-ins and registration at Burlington Acute Care.","Volunteers ensure patients have all required documentation and provide navigation assistance to clinical units. This front-desk role emphasizes customer service and confidentiality in a fast-paced environment. Requires professional communication skills.","volunteering","rolling","","Burlington",43.3255,-79.7990,"https://www.josephbranthospital.ca/","","admin,hospital,halton-region,burlington,volunteering"
"Achēv Newcomer Youth Mentor","Achēv","Support recently immigrated youth in adjusting to life and school in Canada.","Mentors provide social support and academic guidance to help newcomers navigate their new community. The role focuses on building confidence and foster inclusive connections. Hybrid model with both virtual and in-person components in Brampton.","tutoring-mentoring","rolling","","Brampton",43.7315,-79.7624,"https://achev.ca/","","mentoring,newcomers,peel-region,brampton,youth"
"Visions of Science Research Partner","Visions of Science","Collaborate on community-based research projects focused on educational equity.","Research partners assist in data collection and analysis related to STEM education accessibility. Role involves literature reviews, survey design, and report writing. Provides unique exposure to social science research and advocacy in Toronto.","research","rolling","","Toronto",43.6532,-79.3832,"https://www.vosnl.org/","","data,research,toronto,equity,stem"
"Halton Hills AVIP Pool Leader","Town of Halton Hills","Assist swim instructors and demonstrate water safety skills in Georgetown.","Pool leaders support the delivery of municipal swimming lessons and act as role models for young swimmers. This role is a pipeline for future employment as a certified instructor or lifeguard. Requires completion of Swimmer Level 6 and AVIP workshop.","leadership","rolling","","Georgetown",43.6477,-79.9253,"https://www.haltonhills.ca/","","aquatics,leadership,halton-region,georgetown,recreation"
"Keep Durham Beautiful Waste Advocate","Keep Durham Beautiful","Lead community workshops on waste reduction and recycling in Whitby.","Advocates develop and deliver presentations to local groups and schools on the impact of litter. Responsibilities include researching waste metrics and creating engaging educational content. ideally suited for students passionate about sustainability.","leadership","rolling","","Whitby",43.8975,-78.9429,"https://www.keepdurhambeautiful.org/","","environment,leadership,durham-region,whitby,education"
"Mackenzie Health Finance Intern","Mackenzie Health","Gain experience in hospital financial administration and reporting in Richmond Hill.","Interns assist with budget tracking, invoicing, and administrative support for the finance department. This non-clinical role provides insight into the fiscal operations of a large healthcare network. Coordinated through school co-op offices.","internship","seasonal","","Richmond Hill",43.8837,-79.4447,"https://www.mackenziehealth.ca/","","finance,internship,york-region,richmond-hill,healthcare"
"Joseph Brant Hospital IT Intern","Joseph Brant Hospital","Explore healthcare IT and data security through a semester-long internship.","Interns assist with hardware setup, software troubleshooting, and inventory management within a clinical environment. Role provides practical experience in computer science and hospital digital infrastructure. Coordinated through school board co-op offices.","internship","seasonal","","Burlington",43.3255,-79.7990,"https://www.josephbranthospital.ca/","","tech,internship,halton-region,burlington,healthcare"
"U+ Community Social Media Vol","U+ Community","Create digital content to highlight community social impact projects in Peel.","Volunteers design flyers, write blog posts, and manage social media accounts for youth initiatives. This role emphasizes branding, communication, and digital literacy. It is a flexible, virtual opportunity to build a professional portfolio.","volunteering","rolling","2028-01-01","Mississauga",43.5890,-79.6441,"https://www.peeleducation.org/","","marketing,volunteering,peel-region,mississauga,social-media"
"Pathways to Education Math Tutor","Regent Park Community Health Centre","Provide specialized tutoring in secondary mathematics for students in Regent Park.","Tutors assist with algebra, calculus, and geometry, helping students master complex concepts and improve academic outcomes. The program aims to increase graduation rates through dedicated subject support. Requires strong math proficiency and commitment.","tutoring-mentoring","rolling","","Toronto",43.6601,-79.3601,"https://regentparkchc.org/","","math,tutoring,toronto,equity,education"
"Halton Hills Environmental Steward","Town of Halton Hills","Join local conservation projects to restore biodiversity in Georgetown green spaces.","Stewards participate in tree planting, invasive plant removal, and trail maintenance events. Role focuses on improving the ecological health of the regional trail network. A great way for students to gain outdoor experience and environmental literacy.","volunteering","rolling","","Georgetown",43.6477,-79.9253,"https://www.haltonhills.ca/","","environment,volunteering,halton-region,georgetown,conservation"
"Mackenzie Health HR Intern","Mackenzie Health","Gain experience in healthcare human resources and recruitment in Vaughan.","Interns assist with applicant screening, onboarding logistics, and administrative support for the HR team. This role provides insight into the staffing and operations of a major regional hospital. Coordinated through school board co-op offices.","internship","seasonal","","Vaughan",43.8582,-79.5165,"https://www.mackenziehealth.ca/","","admin,internship,york-region,vaughan,healthcare"
"Joseph Brant Hospital Admin Intern","Joseph Brant Hospital","Explore healthcare administration through a non-clinical hospital placement.","Interns assist with filing, registration logistics, and departmental administration in Burlington. This role provides immersive experience in hospital operations and prepares students for careers in management or health sciences. Coordinated through co-op offices.","internship","seasonal","","Burlington",43.3255,-79.7990,"https://www.josephbranthospital.ca/","","admin,internship,halton-region,burlington,healthcare"
